id_queue;method;uid;code;object;path;storeCode;company;createDate;status;attemps
1;POST;07308936-746e-4abb-8e91-c8345d556db0;;StockTransferDTO;core-engine/stock-transfer/sync?code=07308936-746e-4abb-8e91-c8345d556db0;ST008;AZALEIA;2024-10-07 09:36:24;PENDING;
2;POST;fb7d399d-f9e3-4903-8f8f-ab4e973beb11;F001-00000008;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=fb7d399d-f9e3-4903-8f8f-ab4e973beb11;ST008;AZALEIA;2024-10-07 09:36:24;PENDING;
3;POST;79670bea-712a-4be0-9265-ea0d7c3102ff;;PaymentDTO;core-engine/payment/sync?code=79670bea-712a-4be0-9265-ea0d7c3102ff;ST008;AZALEIA;2024-10-07 09:36:25;PENDING;
4;POST;1f648caf-ff67-4ad5-9bd3-a9c61bef34f1;;ReferralGuideDTO;core-engine/delivery/sync?code=1f648caf-ff67-4ad5-9bd3-a9c61bef34f1;ST008;AZALEIA;2024-10-07 09:36:25;PENDING;1
5;POST;cf995a0e-4cd4-43e2-9aa3-183cb91357b5;;CreditNoteDTO;core-engine/creditnote/sync?code=cf995a0e-4cd4-43e2-9aa3-183cb91357b5;ST008;AZALEIA;2024-10-07 09:36:25;PENDING;
6;POST;67b7843d-2410-4f26-b699-78ff5c9a0a2a;F001-00000009;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=67b7843d-2410-4f26-b699-78ff5c9a0a2a;ST008;AZALEIA;2024-10-07 09:36:27;PENDING;
7;POST;437b1585-068d-4b93-8b00-8775105e85cb;;PaymentDTO;core-engine/payment/sync?code=437b1585-068d-4b93-8b00-8775105e85cb;ST008;AZALEIA;2024-10-07 09:36:28;PENDING;
8;POST;a7e807d1-5881-4252-89d7-5221c20d9d8c;;PaymentDTO;core-engine/payment/sync?code=a7e807d1-5881-4252-89d7-5221c20d9d8c;ST008;AZALEIA;2024-10-07 09:36:28;PENDING;
9;POST;03979e04-d89e-4086-8429-2677a0ca1876;;CreditNoteDTO;core-engine/creditnote/sync?code=03979e04-d89e-4086-8429-2677a0ca1876;ST008;AZALEIA;2024-10-07 09:36:28;PENDING;
10;POST;a99eb646-275d-43dd-a694-77adfa98cfce;;CreditNoteCancellationDTO;core-engine/cancellation-document/sync?code=a99eb646-275d-43dd-a694-77adfa98cfce;ST008;AZALEIA;2024-10-07 09:36:28;PENDING;
11;POST;a99eb646-275d-43dd-a694-77adfa98cfce;;CorrelativeCancelDTO;core-engine/cancellation-document/sync?code=a99eb646-275d-43dd-a694-77adfa98cfce;ST008;AZALEIA;2024-10-07 09:36:28;PENDING;
12;POST;3f86edf0-51c4-409f-a208-6a3d857e6d3e;F001-00000010;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=3f86edf0-51c4-409f-a208-6a3d857e6d3e;ST008;AZALEIA;2024-10-07 09:36:30;PENDING;
13;POST;4770bd8e-0862-47bd-8acb-29bdf21e664f;;PaymentDTO;core-engine/payment/sync?code=4770bd8e-0862-47bd-8acb-29bdf21e664f;ST008;AZALEIA;2024-10-07 09:36:31;PENDING;
