group;sourceService;sourceCode;sourcePath;sourceName;destinationService;destinationService;destinationCode;destinationPath;sourceName;code;name;app;data;orderExecution;status;status;statusOperation
DocumentSet;ndp;StockTransferDTO;stock-transfer/sync;Transferencia de stock NDP;;SAP;StockTransfer_SAP_DTO;StockTransfers;Transferencia de stock SAP;StockTransferDTO::StockTransfer_SAP_DTO;Migracion de Transferencias de NDP a SAP;app-posSystem;{config:{registerIdentifierOnCallback:1}};0;1;ENABLED;CREATED
DocumentSet;ndp;SaleOrder_POS_DTO;sale-order/sync;Orden de venta - POS - NDP;;SAP;Order_SAP_DTO;Orders;Orden de venta SAP;SaleOrder_POS_DTO::Order_SAP_DTO;Migracion de Orden de venta de NDP a SAP;app-posSystem;{config:{registerIdentifierOnCallback:1}};1;1;ENABLED;CREATED
DocumentSet;ndp;PaymentReceipt_POS_DTO;payment-receipt/sync;Comprobante de pago NDP;;SAP;Invoice_SAP_DTO;Invoices;Comprobante de pago SAP;PaymentReceipt_POS_DTO::Invoice_SAP_DTO;Migracion de Comprobante de Pago de NDP a SAP;app-posSystem;{config:{registerIdentifierOnCallback:1}};2;1;ENABLED;CREATED
DocumentSet;ndp;PurchaseInvoiceSAP_DTO;PurchaseInvoices;Factura Proveedor SAP;;SAP;ExpenseDTO;expense/sync;Factura Proveedor NDP;PurchaseInvoiceSAP_DTO::ExpenseDTO;Migracion de Facturas Proveedor de SAP a NDP;app-posSystem;{config:{registerIdentifierOnCallback:1}};3;0;DISABLED;CREATED
DocumentSet;ndp;ReferralGuideDTO;delivery/sync;Guia de remision NDP;;SAP;IReferralGuideSAPDTO;DeliveryNotes;Guia de remision SAP;ReferralGuideDTO::IReferralGuideSAPDTO;Migracion de Guias de remision de NDP a SAP;app-posSystem;{config:{registerIdentifierOnCallback:1}};4;1;ENABLED;CREATED
DocumentSet;ndp;CreditNoteDTO;creditnote;Nota de credito NDP;;SAP;CreditNote_SAP_DTO;CreditNotes;Nota de credito SAP;CreditNoteDTO::CreditNote_SAP_DTO;Migracion de Notas de credito de NDP a SAP;app-posSystem;{config:{registerIdentifierOnCallback:1}};5;1;ENABLED;CREATED
DocumentSet;ndp;ReconciliationDTO;reconciliation/sync;Reconciliaciones de NDP;;SAP;Reconciliation_SAP_DTO;InternalReconciliations;Reconciliaciones de SAP;ReconciliationDTO::Reconciliation_SAP_DTO;Migracion de Reconciliacion de NDP a SAP;app-posSystem;{};6;1;ENABLED;CREATED
DocumentSet;ndp;PaymentDTO;payment/sync;Pago recibido NDP;;SAP;IncomingPayments_SAP_DTO;IncomingPayments;Pagos SAP;IncomingPayments_SAP_DTO::PaymentDTO;Migracion de Pagos Recibido de NDP a SAP;app-posSystem;{config:{registerIdentifierOnCallback:1}};7;1;ENABLED;CREATED
DocumentSet;ndp;OutgoingPaymentDTO;outgoing-payment/sync;Pago efectuado NDP;;SAP;VendorPayment_SAP_DTO;VendorPayments;Pago efectuado SAP;OutgoingPaymentDTO::VendorPayment_SAP_DTO;Migracion de Pago Efectuado de NDP a SAP;app-posSystem;{config:{registerIdentifierOnCallback:1}};8;1;ENABLED;CREATED
DocumentSet;ndp;PaymentWorkerDTO;payment-worker/sync;Pago Trabajadores NDP;;SAP;VT_FACTUR_SAP_DTO;VS_FACTUR;Pagos Trabajadores SAP;PaymentWorkerDTO::VT_FACTUR_SAP_DTO;Migracion de Pagos Trabajador de NDP a SAP;app-posSystem;{config:{registerIdentifierOnCallback:1}};9;1;ENABLED;CREATED
DocumentSet;ndp;ExternalTransferDTO;vault-movement/sync;Transferencia externa NDP;;SAP;IExternalTransferSAPDTO;IncomingPayments;Transferencia externa SAP;ExternalTransferDTO::IExternalTransferSAPDTO;Migracion de Salida Externa de Dinero NDP a SAP;app-posSystem;{config:{registerIdentifierOnCallback:1}};10;1;ENABLED;CREATED
DocumentSet;ndp;ChangeEntryDTO;change-entry/sync;Cambios Entrada NDP;;SAP;ChangeEntry_SAP_DTO;InventoryGenEntries;Cambios Entrada SAP;ChangeEntryDTO::ChangeEntry_SAP_DTO;Migracion de Cambios Productos de Entrada;app-posSystem;{config:{registerIdentifierOnCallback:1}};11;1;ENABLED;CREATED
DocumentSet;ndp;ChangeExitDTO;change-exit/sync;Cambios Salida NDP;;SAP;Change_SAP_DTO;InventoryGenExits;Cambios Salida SAP;ChangeExitDTO::Change_SAP_DTO;Migracion de Cambios Productos de Salida;app-posSystem;{config:{registerIdentifierOnCallback:1}};12;1;ENABLED;CREATED
DocumentSet;ndp;ExternalTransferDTO;vault-movement/sync;Transferencia externa NDP;;SAP;IExternalTransferSAPDTO;IncomingPayments;Transferencia externa SAP;ExternalTransferDTO::IExternalTransferSAPDTO;Migracion de Salida/Entrada de Dinero;app-posSystem;{config:{registerIdentifierOnCallback:1}};13;1;ENABLED;CREATED
