Correlativo;Cliente;Monto
01F040-00000929;Cliente 1;120
01F040-00000930;Cliente 2;121
01F040-00000931;Cliente 3;122
01F040-00000932;Cliente 4;123
01F040-00000933;Cliente 5;124
01F040-00000934;Cliente 6;125
01F040-00000935;Cliente 7;126
01F040-00000936;Cliente 8;127
01F040-00000937;Cliente 9;128
01F040-00000938;Cliente 10;129
01F040-00000939;Cliente 11;130
01F040-00000940;Cliente 12;131
01F040-00000941;Cliente 13;132
01F040-00000942;Cliente 14;133
01F040-00000943;Cliente 15;134
01F040-00000944;Cliente 16;135
01F040-00000945;Cliente 17;136
01F040-00000946;Cliente 18;137
01F040-00000947;Cliente 19;138
01F040-00000948;Cliente 20;139
01F040-00000949;Cliente 21;140
01F040-00000950;Cliente 22;141
01F040-00000951;Cliente 23;142
01F040-00000952;Cliente 24;143
01F040-00000953;Cliente 25;144
01F040-00000954;Cliente 26;145
01F040-00000955;Cliente 27;146
01F040-00000956;Cliente 28;147
01F040-00000957;Cliente 29;148
01F040-00000958;Cliente 30;149
01F040-00000959;Cliente 31;150
01F040-00000960;Cliente 32;151
01F040-00000961;Cliente 33;152
01F040-00000962;Cliente 34;153
01F040-00000963;Cliente 35;154
01F040-00000964;Cliente 36;155
01F040-00000965;Cliente 37;156
01F040-00000966;Cliente 38;157
01F040-00000967;Cliente 39;158
01F040-00000968;Cliente 40;159
01F040-00000969;Cliente 41;159
01F040-00000970;Cliente 42;159
01F040-00000971;Cliente 43;159
01F040-00000972;Cliente 44;159
01F040-00000973;Cliente 45;159
01F040-00000974;Cliente 46;159
01F040-00000975;Cliente 47;159
01F040-00000976;Cliente 48;159
01F040-00000977;Cliente 49;159
01F040-00000978;Cliente 50;159
01F040-00000979;Cliente 51;159
01F040-00000980;Cliente 52;159
01F040-00000981;Cliente 53;159
01F040-00000982;Cliente 54;159
01F040-00000983;Cliente 55;159
01F040-00000984;Cliente 56;159
01F040-00000985;Cliente 57;159
01F040-00000986;Cliente 58;159
01F040-00000987;Cliente 59;159
01F040-00000988;Cliente 60;159
01F040-00000989;Cliente 61;159
01F040-00000990;Cliente 62;159
01F040-00000991;Cliente 63;159
01F040-00000992;Cliente 64;159
01F040-00000993;Cliente 65;159
01F040-00000994;Cliente 66;159
01F040-00000995;Cliente 67;159
01F040-00000996;Cliente 68;159
01F040-00000997;Cliente 69;159
01F040-00000998;Cliente 70;159
01F040-00000999;Cliente 71;159
01F040-00001000;Cliente 72;159
01F040-00001001;Cliente 73;159
01F040-00001002;Cliente 74;159
01F040-00001003;Cliente 75;159
01F040-00001004;Cliente 76;159
01F040-00001005;Cliente 77;159
01F040-00001006;Cliente 78;159
01F040-00001007;Cliente 79;159
01F040-00001008;Cliente 80;159
01F040-00001009;Cliente 81;159
01F040-00001010;Cliente 82;159
01F040-00001011;Cliente 83;159
01F040-00001012;Cliente 84;159
01F040-00001013;Cliente 85;159
01F040-00001014;Cliente 86;159
01F040-00001015;Cliente 87;159
01F040-00001016;Cliente 88;159
01F040-00001017;Cliente 89;159
01F040-00001018;Cliente 90;159
01F040-00001019;Cliente 91;159
01F040-00001020;Cliente 92;159
01F040-00001021;Cliente 93;159
01F040-00001022;Cliente 94;159
01F040-00001023;Cliente 95;159
01F040-00001024;Cliente 96;159
01F040-00001025;Cliente 97;159
01F040-00001026;Cliente 98;159
01F040-00001027;Cliente 99;159
01F040-00001028;Cliente 100;159
